projectName,status,landmark,fullAddress,city,type,price,search_text
Santiago Skytown,UNDER_CONSTRUCTION,Police Station,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",Pune,2BHK,8037000,"Santiago Skytown UNDER_CONSTRUCTION Police Station Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101 Pune 2BHK 8037000"
Santiago Skytown,UNDER_CONSTRUCTION,Police Station,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",Pune,3BHK,13900000,"Santiago Skytown UNDER_CONSTRUCTION Police Station Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101 Pune 3BHK 13900000"
The silver altair ,UNDER_CONSTRUCTION,MNGL CNG Station,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",Pune,2BHK,8409000,"The silver altair  UNDER_CONSTRUCTION MNGL CNG Station The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet Pune 2BHK 8409000"
The silver altair ,UNDER_CONSTRUCTION,MNGL CNG Station,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",Pune,2BHK,8885000,"The silver altair  UNDER_CONSTRUCTION MNGL CNG Station The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet Pune 2BHK 8885000"
The silver altair ,UNDER_CONSTRUCTION,MNGL CNG Station,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",Pune,3BHK,11000000,"The silver altair  UNDER_CONSTRUCTION MNGL CNG Station The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet Pune 3BHK 11000000"
QUEENS PARK,UNDER_CONSTRUCTION,Jain mandir ,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",Mumbai,1BHK,10900000,"QUEENS PARK UNDER_CONSTRUCTION Jain mandir  Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071 Mumbai 1BHK 10900000"
QUEENS PARK,UNDER_CONSTRUCTION,Jain mandir ,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",Mumbai,2BHK,18700000,"QUEENS PARK UNDER_CONSTRUCTION Jain mandir  Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071 Mumbai 2BHK 18700000"
QUEENS PARK,UNDER_CONSTRUCTION,Jain mandir ,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",Mumbai,2BHK,17200000,"QUEENS PARK UNDER_CONSTRUCTION Jain mandir  Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071 Mumbai 2BHK 17200000"
QUEENS PARK,UNDER_CONSTRUCTION,Jain mandir ,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",Mumbai,3BHK,23900000,"QUEENS PARK UNDER_CONSTRUCTION Jain mandir  Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071 Mumbai 3BHK 23900000"
Queens Glory,UNDER_CONSTRUCTION,Shri siddhivinayak ganesh temple,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",Mumbai,1RK ,7944000,"Queens Glory UNDER_CONSTRUCTION Shri siddhivinayak ganesh temple Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071 Mumbai 1RK  7944000"
Queens Avenue,UNDER_CONSTRUCTION,Shri siddhivinayak ganesh temple,"Subhash Nagar, Chembur, Mumbai Harbour, Mumbai",Mumbai,1BHK,10700000,"Queens Avenue UNDER_CONSTRUCTION Shri siddhivinayak ganesh temple Subhash Nagar, Chembur, Mumbai Harbour, Mumbai Mumbai 1BHK 10700000"
Queens Avenue,UNDER_CONSTRUCTION,Shri siddhivinayak ganesh temple,"Subhash Nagar, Chembur, Mumbai Harbour, Mumbai",Mumbai,2BHK,15300000,"Queens Avenue UNDER_CONSTRUCTION Shri siddhivinayak ganesh temple Subhash Nagar, Chembur, Mumbai Harbour, Mumbai Mumbai 2BHK 15300000"
Queens Avenue,UNDER_CONSTRUCTION,Shri siddhivinayak ganesh temple,"Subhash Nagar, Chembur, Mumbai Harbour, Mumbai",Mumbai,2BHK,16700000,"Queens Avenue UNDER_CONSTRUCTION Shri siddhivinayak ganesh temple Subhash Nagar, Chembur, Mumbai Harbour, Mumbai Mumbai 2BHK 16700000"
